object_id,title,artist,year,image_url,owner,medium,dimensions,classification,creditLine,objectURL,artistULAN_URL,tags,language,used,date_used
435575,"Jérôme Bonaparte (1784–1860), King of Westphalia",Giacomo Andreoli,1813,https://images.metmuseum.org/CRDImages/ep/web-large/127596.jpg,"The Metropolitan Museum of Art, New York",Ivory,2 3/8 x 1 7/8 in. (60 x 48 mm),Miniatures,"Gift of Helen O. Brice, 1942",https://www.metmuseum.org/art/collection/search/435575,(not assigned),Kings; Men; Portraits,slovak,TRUE,17/10/2025 10:20
435590,Family Group in a Landscape,Jacques d'Arthois,1650,https://images.metmuseum.org/CRDImages/ep/web-large/DP-17626-001.jpg,"The Metropolitan Museum of Art, New York",Oil on canvas,49 1/8 x 60 1/8 in. (124.8 x 152.7 cm),Paintings,"Theodore M. Davis Collection, Bequest of Theodore M. Davis, 1915",https://www.metmuseum.org/art/collection/search/435590,http://vocab.getty.edu/page/ulan/500023214,Birds; Boys; Girls; Men; Women; Dogs; Landscapes; Family,slovak,FALSE,
435595,Madonna and Child,Bachiacca (Francesco d'Ubertino Verdi),1523,https://images.metmuseum.org/CRDImages/ep/web-large/DT8844.jpg,"The Metropolitan Museum of Art, New York",Oil and gold on wood,34 1/4 x 26 1/2 in. (87 x 67.3 cm),Paintings,"The Jack and Belle Linsky Collection, 1982",https://www.metmuseum.org/art/collection/search/435595,http://vocab.getty.edu/page/ulan/500021332,Madonna and Child,slovak,FALSE,
435601,Madonna and Child,Ercole Banci,1529,https://images.metmuseum.org/CRDImages/ep/web-large/ep32.100.94.bw.R.jpg,"The Metropolitan Museum of Art, New York",Tempera on wood,15 1/4 x 12 3/8 in. (38.7 x 31.4 cm),Paintings,"The Friedsam Collection, Bequest of Michael Friedsam, 1931",https://www.metmuseum.org/art/collection/search/435601,http://vocab.getty.edu/page/ulan/500092915,Madonna and Child,slovak,FALSE,
435608,Portrait of a Man,Barrois,1795,https://images.metmuseum.org/CRDImages/ep/web-large/37132.jpg,"The Metropolitan Museum of Art, New York",Ivory,Diameter 2 3/4 in. (67 mm),Miniatures,"Bequest of Ella Church Strobell, 1917",https://www.metmuseum.org/art/collection/search/435608,(not assigned),Men; Portraits,slovak,TRUE,12/11/2025 10:16
435609,Portrait of a Man,John Barry,1795,https://images.metmuseum.org/CRDImages/ep/web-large/80546.jpg,"The Metropolitan Museum of Art, New York",Ivory,"Oval, 2 1/2 x 2 1/8 in. (64 x 54 mm)",Miniatures,"Gift of Mrs. Sherwood Eddy, 1930",https://www.metmuseum.org/art/collection/search/435609,http://vocab.getty.edu/page/ulan/500011190,Men; Portraits,slovak,FALSE,
435905,The Ford,Claude Lorrain (Claude Gellée),1636,https://images.metmuseum.org/CRDImages/ep/web-large/DP123844.jpg,"The Metropolitan Museum of Art, New York",Oil on canvas,29 1/4 x 39 3/4 in. (74.3 x 101 cm),Paintings,"Fletcher Fund, 1928",https://www.metmuseum.org/art/collection/search/435905,http://vocab.getty.edu/page/ulan/500115366,Men; Women; Rivers; Landscapes; Boats,english,FALSE,
435907,Sunrise,Claude Lorrain (Claude Gellée),1647,https://images.metmuseum.org/CRDImages/ep/web-large/DP-14936-013.jpg,"The Metropolitan Museum of Art, New York",Oil on canvas,40 1/2 x 52 3/4 in. (102.9 x 134 cm),Paintings,"Fletcher Fund, 1947",https://www.metmuseum.org/art/collection/search/435907,http://vocab.getty.edu/page/ulan/500115366,Human Figures; Cows; Landscapes; Dawn,english,FALSE,
435918,Vanitas Still Life,Edwaert Collier,1662,https://images.metmuseum.org/CRDImages/ep/web-large/DP146494.jpg,"The Metropolitan Museum of Art, New York",Oil on wood,37 x 44 1/8 in. (94 x 112.1 cm),Paintings,"Purchase, 1871",https://www.metmuseum.org/art/collection/search/435918,http://vocab.getty.edu/page/ulan/500008569,Books; Jewelry; Skulls; Music; Violins; Still Life; Globes,english,FALSE,
435923,Stoke-by-Nayland,John Constable,1815,https://images.metmuseum.org/CRDImages/ep/web-large/DP164805.jpg,"The Metropolitan Museum of Art, New York",Oil on canvas,11 1/8 x 14 1/4 in. (28.3 x 36.2 cm),Paintings,"Charles B. Curtis Fund, 1926",https://www.metmuseum.org/art/collection/search/435923,http://vocab.getty.edu/page/ulan/500115382,Landscapes,english,FALSE,
435926,Portrait of a Woman,Continental Painter,1635,https://images.metmuseum.org/CRDImages/ep/web-large/175503.jpg,"The Metropolitan Museum of Art, New York",Oil on copper,"Oval, 2 x 1 1/2 in. (50 x 38 mm)",Miniatures,"Bequest of Millie Bruhl Fredrick, 1962",https://www.metmuseum.org/art/collection/search/435926,(not assigned),Portraits; Women,english,FALSE,
